ID,title,author,read-length
1,Ravage,Steph Macca,7 hrs and 54 mins
2,Insatiable,Leigh Rivers,10 hrs and 12 mins
3,Elphie: A Wicked Childhood,Gregory Maguire,8 hrs and 26 mins
4,Untapped,Dakota Krout,17 hrs and 59 mins
5,Magic Rune Academy 2: An Urban Fantasy Adventure,Landon Scott,10 hrs and 40 mins
6,Himbo Hitman,Saxon James,10 hrs and 46 mins
7,Tourist Season,Brynne Weaver,13 hrs
8,Love &amp; Other Killers,Brynne Weaver,1 hr and 19 mins
9,The Stubborn Skill-Grinder in a Time Loop 2,X-RHODEN-X,16 hrs and 37 mins
10,Haunting the Hunter,Hanna Harp,10 hrs
11,Desperate Measures,Craig Alanson,17 hrs and 7 mins
12,Gangster,Dan Willis,9 hrs and 53 mins
13,"I'm the Evil Lord of an Intergalactic Empire!, Vol. 2",三嶋与夢,8 hrs and 8 mins
14,Nine Pines,Kiersten Modglin,6 hrs and 7 mins
15,Ultimate Level 1: Ultimate Truths,Shawn Wilson,17 hrs and 43 mins
16,Against All Odds,Corinne Michaels,10 hrs and 28 mins
17,The Forest of Snooze,Maxwell Nightshade,10 hrs and 10 mins
18,Luna and the Dream Cloud,Tessa Dreamwhisper,10 hrs and 42 mins
19,Captain Pillow and the Dream Pirates,Ivy Slumberly,10 hrs and 25 mins
20,Lead Me Knot,S.L. Scott,10 hrs and 19 mins
